"","n = 25","n = 50","n = 75","n = 100","n = 125","n = 150","n = 175","n = 200","n = 225","n = 250","n = 275","n = 300"
"Cai & Zhang (2016)",1,1,0.9175,0.7325,0.57,0.4675,0.3825,0.27,0.25,0.2425,0.245,0.1925
"Zheng et al. (2019) sum",1,0.6725,0.2725,0.1825,0.125,0.0925,0.1,0.0925,0.0875,0.1025,0.11,0.095
"Zheng et al. (2019) max",1,0.8625,0.4175,0.2875,0.1825,0.135,0.14,0.1075,0.115,0.1175,0.13,0.1025
"Permutation Test",0.055,0.065,0.03,0.045,0.035,0.045,0.05,0.0575,0.0525,0.065,0.0525,0.0525
